Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
67,8g,4KB,30% Seq 100% Read,60,10,0,16,1,/dev/nvme0n1,
68,8g,4KB,0% Seq 100% Read,60,10,0,16,1,/dev/nvme0n1,
69,8g,4KB,100% Seq 60% Read,60,10,0,16,1,/dev/nvme0n1,
70,8g,4KB,60% Seq 60% Read,60,10,0,16,1,/dev/nvme0n1,
71,8g,4KB,30% Seq 60% Read,60,10,0,16,1,/dev/nvme0n1,
72,8g,4KB,0% Seq 60% Read,60,10,0,16,1,/dev/nvme0n1,
73,8g,4KB,100% Seq 30% Read,60,10,0,16,1,/dev/nvme0n1,
74,8g,4KB,60% Seq 30% Read,60,10,0,16,1,/dev/nvme0n1,
75,8g,4KB,30% Seq 30% Read,60,10,0,16,1,/dev/nvme0n1,
76,8g,4KB,0% Seq 30% Read,60,10,0,16,1,/dev/nvme0n1,
77,8g,4KB,100% Seq 0% Read,60,10,0,16,1,/dev/nvme0n1,
78,8g,4KB,60% Seq 0% Read,60,10,0,16,1,/dev/nvme0n1,
79,8g,4KB,30% Seq 0% Read,60,10,0,16,1,/dev/nvme0n1,
80,8g,4KB,0% Seq 0% Read,60,10,0,16,1,/dev/nvme0n1,
81,4g,4KB,100% Seq 100% Read,60,10,0,32,1,/dev/nvme0n1,
82,4g,4KB,60% Seq 100% Read,60,10,0,32,1,/dev/nvme0n1,
83,4g,4KB,30% Seq 100% Read,60,10,0,32,1,/dev/nvme0n1,
84,4g,4KB,0% Seq 100% Read,60,10,0,32,1,/dev/nvme0n1,
85,4g,4KB,100% Seq 60% Read,60,10,0,32,1,/dev/nvme0n1,
86,4g,4KB,60% Seq 60% Read,60,10,0,32,1,/dev/nvme0n1,
87,4g,4KB,30% Seq 60% Read,60,10,0,32,1,/dev/nvme0n1,
88,4g,4KB,0% Seq 60% Read,60,10,0,32,1,/dev/nvme0n1,
89,4g,4KB,100% Seq 30% Read,60,10,0,32,1,/dev/nvme0n1,
90,4g,4KB,60% Seq 30% Read,60,10,0,32,1,/dev/nvme0n1,
91,4g,4KB,30% Seq 30% Read,60,10,0,32,1,/dev/nvme0n1,
92,4g,4KB,0% Seq 30% Read,60,10,0,32,1,/dev/nvme0n1,
93,4g,4KB,100% Seq 0% Read,60,10,0,32,1,/dev/nvme0n1,
94,4g,4KB,60% Seq 0% Read,60,10,0,32,1,/dev/nvme0n1,
95,4g,4KB,30% Seq 0% Read,60,10,0,32,1,/dev/nvme0n1,
96,4g,4KB,0% Seq 0% Read,60,10,0,32,1,/dev/nvme0n1,
97,2g,4KB,100% Seq 100% Read,60,10,0,64,1,/dev/nvme0n1,
98,2g,4KB,60% Seq 100% Read,60,10,0,64,1,/dev/nvme0n1,
99,2g,4KB,30% Seq 100% Read,60,10,0,64,1,/dev/nvme0n1,
100,2g,4KB,0% Seq 100% Read,60,10,0,64,1,/dev/nvme0n1,
101,2g,4KB,100% Seq 60% Read,60,10,0,64,1,/dev/nvme0n1,
102,2g,4KB,60% Seq 60% Read,60,10,0,64,1,/dev/nvme0n1,
103,2g,4KB,30% Seq 60% Read,60,10,0,64,1,/dev/nvme0n1,
104,2g,4KB,0% Seq 60% Read,60,10,0,64,1,/dev/nvme0n1,
105,2g,4KB,100% Seq 30% Read,60,10,0,64,1,/dev/nvme0n1,
106,2g,4KB,60% Seq 30% Read,60,10,0,64,1,/dev/nvme0n1,
107,2g,4KB,30% Seq 30% Read,60,10,0,64,1,/dev/nvme0n1,
108,2g,4KB,0% Seq 30% Read,60,10,0,64,1,/dev/nvme0n1,
109,2g,4KB,100% Seq 0% Read,60,10,0,64,1,/dev/nvme0n1,
