Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
88,4g,4KB,0% Seq 60% Read,60,10,0,32,1,/dev/null:/dev/null,
89,4g,4KB,100% Seq 30% Read,60,10,0,32,1,/dev/null:/dev/null,
90,4g,4KB,60% Seq 30% Read,60,10,0,32,1,/dev/null:/dev/null,
91,4g,4KB,30% Seq 30% Read,60,10,0,32,1,/dev/null:/dev/null,
92,4g,4KB,0% Seq 30% Read,60,10,0,32,1,/dev/null:/dev/null,
93,4g,4KB,100% Seq 0% Read,60,10,0,32,1,/dev/null:/dev/null,
94,4g,4KB,60% Seq 0% Read,60,10,0,32,1,/dev/null:/dev/null,
95,4g,4KB,30% Seq 0% Read,60,10,0,32,1,/dev/null:/dev/null,
96,4g,4KB,0% Seq 0% Read,60,10,0,32,1,/dev/null:/dev/null,
97,2g,4KB,100% Seq 100% Read,60,10,0,64,1,/dev/null:/dev/null,
98,2g,4KB,60% Seq 100% Read,60,10,0,64,1,/dev/null:/dev/null,
99,2g,4KB,30% Seq 100% Read,60,10,0,64,1,/dev/null:/dev/null,
100,2g,4KB,0% Seq 100% Read,60,10,0,64,1,/dev/null:/dev/null,
101,2g,4KB,100% Seq 60% Read,60,10,0,64,1,/dev/null:/dev/null,
102,2g,4KB,60% Seq 60% Read,60,10,0,64,1,/dev/null:/dev/null,
103,2g,4KB,30% Seq 60% Read,60,10,0,64,1,/dev/null:/dev/null,
104,2g,4KB,0% Seq 60% Read,60,10,0,64,1,/dev/null:/dev/null,
105,2g,4KB,100% Seq 30% Read,60,10,0,64,1,/dev/null:/dev/null,
106,2g,4KB,60% Seq 30% Read,60,10,0,64,1,/dev/null:/dev/null,
107,2g,4KB,30% Seq 30% Read,60,10,0,64,1,/dev/null:/dev/null,
108,2g,4KB,0% Seq 30% Read,60,10,0,64,1,/dev/null:/dev/null,
109,2g,4KB,100% Seq 0% Read,60,10,0,64,1,/dev/null:/dev/null,
110,2g,4KB,60% Seq 0% Read,60,10,0,64,1,/dev/null:/dev/null,
111,2g,4KB,30% Seq 0% Read,60,10,0,64,1,/dev/null:/dev/null,
112,2g,4KB,0% Seq 0% Read,60,10,0,64,1,/dev/null:/dev/null,
113,1g,4KB,100% Seq 100% Read,60,10,0,128,1,/dev/null:/dev/null,
